ID,Product_Name,Material,Price,Product_Page,MRP_Rate,Offer,Estimated_Delivery,Category,Rating,Reviews
1388,Bloom Blush Planter - Set Of Two,Metal,799,https://vaaree.com/products/bloom-blush-planter-set-of-two,2999,74,2025-03-10,Artificial Flowers & Plants,0,5
4099,(Coffee & White) Faux Pampas Grass Sticks (45.7 cms) - Set Of Six,Plastic,899,https://vaaree.com/products/faux-pampas-grass-sticks-coffee-white-set-of-six,3200,72,2025-03-10,Artificial Flowers & Plants,4,1
7283,Faux Realistic Bougainvillea Flower Stick - Purple,Fabric,599,https://vaaree.com/products/faux-realistic-bougainvillea-flower-stick-purple,699,15,2025-03-03,Artificial Flowers & Plants,5,3
3552,Faux Tropic Anthurium Silk Plant With Pot - 2.13 ft,Pvc,959,https://vaaree.com/products/faux-tropic-anthurium-silk-plant-with-pot,1750,46,2025-03-03,Artificial Flowers & Plants,3,3
4778,Goldo Glamour Planter - Set Of Two,Metal,699,https://vaaree.com/products/goldo-glamour-planter-set-of-two,2699,75,2025-03-10,Artificial Flowers & Plants,0,3
5137,Pebble Play Vase - White,Ceramic,398,https://vaaree.com/products/pebble-play-vase-white,919,57,2025-03-04,Artificial Flowers & Plants,0,3
7390,Paradise Finesse Planter - Set Of Two,Metal,799,https://vaaree.com/products/paradise-finesse-planter-set-of-two,2999,74,2025-03-10,Artificial Flowers & Plants,0,10
2892,Artificial White Baby's Breath - Set Of Three,Plastic,600,https://vaaree.com/products/artificial-white-babys-breath-set-of-three,2000,70,2025-03-03,Artificial Flowers & Plants,0,10
1590,Dalfol Solawood Floral Basket,Cane,1910,https://vaaree.com/products/dalfol-solawood-floral-basket,2990,37,2025-03-04,Artificial Flowers & Plants,0,4
3647,Faux Green Palm Plant With Pot - 2.62 ft,Pvc,1099,https://vaaree.com/products/faux-green-banana-plant-with-pot,1500,27,2025-03-03,Artificial Flowers & Plants,0,5
5725,Edelle Rose Floral Stick,Metal,256,https://vaaree.com/products/edelle-floral-stick,1000,75,2025-03-10,Artificial Flowers & Plants,0,0
6672,Ivera Dune Planter (Green) - Set Of Three,Silk,752,https://vaaree.com/products/ivera-dune-planter-green-set-of-three,2699,73,2025-03-10,Artificial Flowers & Plants,0,6
1270,Bit-Daisy Floral Stick - White,Fabric,0,https://vaaree.com/products/bit-daisy-floral-stick-white,1000,70,2025-03-09,Artificial Flowers & Plants,4,3
3828,Faux Realistic Fiddle Leaf Fig Plant With Black Plastic Pot - 3.9 Feet,Dried Flowers & Leaves,3999,https://vaaree.com/products/faux-realistic-fiddle-leaf-fig-plant-with-pot-3-9-feet,4499,12,2025-03-03,Artificial Flowers & Plants,5,1
7092,Naturally Dried Pampas Stems (Brown) - Set Of Ten,Cotton,1368,https://vaaree.com/products/naturally-dried-pampas-stems-brown-set-of-ten,1642,17,2025-03-03,Artificial Flowers & Plants,1,1
3807,Faux Banana Bonsai In Ceramic Pot (24 cms) - Small,Metal,917,https://vaaree.com/products/faux-banana-bonsai-in-ceramic-pot-small,2250,60,2025-03-03,Artificial Flowers & Plants,4,1
7738,Sofia Macrame Plant Hanger - Set Of Two,Dried Flowers & Leaves,384,https://vaaree.com/products/sofia-macrame-plant-hanger-set-of-two,1400,73,2025-03-10,Artificial Flowers & Plants,4,3
