Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Fionna Carved Table Lamp,Fabric Shade,"₹1,279",https://vaaree.com/products/fionna-carved-table-lamp,"₹3,200",60% off,Delivery Tomorrow,Lamps & Lighting,3.7,11 Reviews
Adiah Wall Lamp,Glass Shade,"₹1,117",https://vaaree.com/products/adiah-wall-lamp,"₹2,900",62% off,Delivery Tomorrow,Lamps & Lighting,5,4 Reviews
Lueur Table Lamp - Beige,Fabric Shade,"₹1,499",https://vaaree.com/products/lueur-table-lamp-beige,"₹3,200",54% off,Delivery Tomorrow,Lamps & Lighting,4.4,5 Reviews
Rose Elegance String Light,Foam,₹399,https://vaaree.com/products/rose-elegance-string-light,"₹1,200",67% off,Delivery Tomorrow,Lamps & Lighting,4.3,9 Reviews
Warm Glow Curtain Lights,Plastic,₹799,https://vaaree.com/products/warm-glow-curtain-lights,"₹2,500",68% off,Delivery Tomorrow,Lamps & Lighting,5,3 Reviews
Timber Floor Lamp - Gold & White,Fabric Shade,"₹1,849",https://vaaree.com/products/timber-floor-lamp-gold-white,"₹7,000",74% off,"Sun, 2nd Mar",Lamps & Lighting,2.8,4 Reviews
Fadeela Terracotta Table Lamp,Fabric Shade,"₹2,080",https://vaaree.com/products/fadeela-terracotta-table-lamp,"₹2,849",27% off,Delivery Tomorrow,Lamps & Lighting,4.5,4 Reviews
Gracie Bell Black Table Lamp,Fabric Shade,₹649,https://vaaree.com/products/gracie-bell-black-table-lamp,"₹2,450",74% off,Delivery Tomorrow,Lamps & Lighting,3.3,3 Reviews
Saffia Table Lamp,Fabric Shade,₹799,https://vaaree.com/products/saffia-table-lamp,"₹1,799",56% off,"Sun, 2nd Mar",Lamps & Lighting,3.2,5 Reviews
Baroque Table Lamp - Beige,Fabric Shade,"₹1,399",https://vaaree.com/products/baroque-table-lamp-beige,"₹3,000",54% off,Delivery Tomorrow,Lamps & Lighting,2.7,3 Reviews
Moon Gooseneck Wall Lamp - Set Of Two,Glass Shade,₹759,https://vaaree.com/products/moon-gooseneck-wall-lamp-set-of-two,"₹2,500",70% off,"Mon, 3rd Mar",Lamps & Lighting,4.2,16 Reviews
Dapper Diamond Wall Lamp - Black,Metal Shade,₹547,https://vaaree.com/products/dapper-diamond-wall-lamp-black,"₹1,800",70% off,Delivery Tomorrow,Lamps & Lighting,1,1 Reviews
Mystne Ceiling Lamp - Large,Rattan Shade,"₹1,279",https://vaaree.com/products/mystne-ceiling-lamp-large,"₹5,000",75% off,"Sun, 2nd Mar",Lamps & Lighting,5,3 Reviews
Tall Tales Blue Wood Table Lamp,Fabric Shade,"₹1,425",https://vaaree.com/products/tall-tales-blue-wood-table-lamp,"₹5,000",72% off,Delivery Tomorrow,Lamps & Lighting,5,1 Reviews
Amber Bubble Table Lamp,Fabric Shade,"₹1,179",https://vaaree.com/products/amber-bubble-table-lamp,"₹5,000",77% off,Delivery Tomorrow,Lamps & Lighting,4.2,6 Reviews
Reina Wooden Table Lamp - Green,Fabric Shade,"₹1,625",https://vaaree.com/products/reina-wooden-table-lamp-green,"₹3,250",50% off,"Sun, 2nd Mar",Lamps & Lighting,5,3 Reviews
Diamond Mesh Pendant Lamp,Metal Shade,₹548,https://vaaree.com/products/diamond-mesh-pendant-lamp,"₹2,000",73% off,Delivery Tomorrow,Lamps & Lighting,5,2 Reviews
Fancy Pants Table Lamp,Fabric Shade,"₹1,989",https://vaaree.com/products/fancy-pants-table-lamp,"₹2,800",29% off,Delivery Tomorrow,Lamps & Lighting,4.3,6 Reviews
Boho Fauna Dome Table Lamp,Fabric Shade,"₹1,322",https://vaaree.com/products/boho-fauna-dome-table-lamp,"₹2,350",44% off,"Sun, 2nd Mar",Lamps & Lighting,5,1 Reviews
Danica-Oh Marigold Table Lamp,Fabric Shade,₹686,https://vaaree.com/products/danica-oh-marigold-table-lamp,"₹2,450",72% off,Delivery Tomorrow,Lamps & Lighting,2.6,7 Reviews
Modern Haveli Lantern,Glass Shade,"₹1,096",https://vaaree.com/products/modern-haveli-lantern,"₹3,300",67% off,Delivery Tomorrow,Lamps & Lighting,4,7 Reviews
Imane Wall Lamp,Metal Shade,"₹1,159",https://vaaree.com/products/imane-wall-lamp,"₹2,500",54% off,Delivery Tomorrow,Lamps & Lighting,2.8,4 Reviews
Eclipse Wall Lamp,Glass Shade,₹816,https://vaaree.com/products/eclipse-wall-lamp,"₹2,000",60% off,Delivery Tomorrow,Lamps & Lighting,3.7,6 Reviews
Fiza Etched Table Lamp - Green,Fabric Shade,"₹1,520",https://vaaree.com/products/fiza-etched-table-lamp-green,"₹3,000",50% off,"Sun, 2nd Mar",Lamps & Lighting,4.7,7 Reviews
