Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Rosselia Wall Mirror,Iron,"₹1,874",https://vaaree.com/products/rosselia-wall-mirror,"₹2,610",29% off,Delivery Tomorrow,Mirrors,5,1 Reviews
Sufiya Wall Mirror,Iron,"₹1,155",https://vaaree.com/products/sufiya-wall-mirror,"₹1,733",34% off,Delivery Tomorrow,Mirrors,5,1 Reviews
Omia Blossom Wall Mirror,Iron,"₹1,701",https://vaaree.com/products/omia-blossom-wall-mirror,"₹2,370",29% off,"Mon, 3rd Mar",Mirrors,1,1 Reviews
Aurum Drip Decorative Wall Mirror,Wood,"From ₹3,232",https://vaaree.com/products/aurum-drip-decorative-wall-mirror,"₹4,999",36% off,"Mon, 3rd Mar",Mirrors,Inclusive of all taxes,with 1 offer
Flora Macrame Wall Mirror - Mustard,Cotton,"₹1,099",https://vaaree.com/products/flora-macrame-wall-mirror-maroon,"₹1,199",9% off,"Sun, 2nd Mar",Mirrors,4,1 Reviews
Nisha Vintage Hand Mirror,Aluminum,₹399,https://vaaree.com/products/nisha-vintage-hand-mirror,₹699,43% off,"Sun, 2nd Mar",Mirrors,Inclusive of all taxes,Orders more than 10 Items?
Jeneva Wall Mirror - Set Of Two,Iron,"₹1,554",https://vaaree.com/products/jeneva-wall-mirror-set-of-two,"₹2,331",34% off,Delivery Tomorrow,Mirrors,Inclusive of all taxes,with 1 offer
Maku Wall Mirror - Tan,Iron,"₹1,176",https://vaaree.com/products/maku-wall-mirror-tan,"₹1,764",34% off,Delivery Tomorrow,Mirrors,1,1 Reviews
Aeliana Wall Mirror - Set Of Three,Wood,"₹5,556",https://vaaree.com/products/aeliana-wall-mirror-set-of-three,"₹11,999",54% off,"Mon, 3rd Mar",Mirrors,Inclusive of all taxes,with 1 offer
Floro Finesse Wall Mirror,Iron,"₹1,575",https://vaaree.com/products/floro-finesse-wall-mirror,"₹2,363",34% off,Delivery Tomorrow,Mirrors,Inclusive of all taxes,with 1 offer
Celestia Wall Mirror,Wood,"From ₹3,638",https://vaaree.com/products/celestia-wall-mirror,"₹6,999",48% off,"Mon, 3rd Mar",Mirrors,Inclusive of all taxes,with 1 offer
Grama Bloom Wall Mirror,Iron,"₹1,981",https://vaaree.com/products/grama-bloom-wall-mirror,"₹2,760",29% off,Delivery Tomorrow,Mirrors,3,1 Reviews
Greek Key Reflection Decorative Wall Mirror - Brown,Wood,"From ₹3,508",https://vaaree.com/products/greek-key-reflection-decorative-wall-mirror-brown,"₹6,999",50% off,"Mon, 3rd Mar",Mirrors,Inclusive of all taxes,with 1 offer
Rose Blush Wall Mirror,Iron,"₹2,025",https://vaaree.com/products/rose-blush-wall-mirror,"₹2,820",29% off,Delivery Tomorrow,Mirrors,Inclusive of all taxes,with 1 offer
Solea Wall Mirror,Wood,"From ₹4,106",https://vaaree.com/products/solea-wall-mirror-1,"₹9,999",59% off,"Mon, 3rd Mar",Mirrors,Inclusive of all taxes,with 1 offer
Roshera Bloom Wall Mirror,Iron,"₹1,917",https://vaaree.com/products/roshera-bloom-wall-mirror,"₹2,670",29% off,"Mon, 3rd Mar",Mirrors,Inclusive of all taxes,with 1 offer
Briella Wall Mirror - Set Of Four,Wood,"₹1,066",https://vaaree.com/products/briella-wall-mirror-set-of-four,"₹4,000",74% off,"Tue, 4th Mar",Mirrors,Inclusive of all taxes,Orders more than 10 Items?
Artiya Bloom Wall Mirror,Iron,"₹2,025",https://vaaree.com/products/artiya-bloom-wall-mirror,"₹2,820",29% off,"Mon, 3rd Mar",Mirrors,Inclusive of all taxes,with 1 offer
Flora Macrame Wall Mirror - Teal,Cotton,"₹1,099",https://vaaree.com/products/flora-macrame-wall-mirror-mustard,"₹1,199",9% off,"Sun, 2nd Mar",Mirrors,1,1 Reviews
Droplet Wall Mirror,Rattan,"₹1,900",https://vaaree.com/products/droplet-wall-mirror,"₹2,150",12% off,"Fri, 7th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Hexaga Fuse Mirror,Iron,"₹4,999",https://vaaree.com/products/hexaga-fuse-mirror,"₹5,999",17% off,"Tue, 4th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Piko Ethnic Wall Mirror,Iron,"₹4,999",https://vaaree.com/products/piko-ethnic-wall-mirror,"₹5,999",17% off,"Tue, 4th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Eleya Bloom Wall Mirror - Blue,Iron,"₹1,831",https://vaaree.com/products/eleya-bloom-wall-mirror-blue,"₹2,550",29% off,Delivery Tomorrow,Mirrors,Inclusive of all taxes,with 1 offer
Rakia Bloom Wall Mirror - Set Of Two,Iron,"₹1,034",https://vaaree.com/products/rakia-bloom-wall-mirror-set-of-two,"₹1,440",29% off,"Mon, 3rd Mar",Mirrors,Inclusive of all taxes,Orders more than 10 Items?
