Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Oceane Wooden Tall Candle Stand - Set Of Two,Wood,"₹1,299",https://vaaree.com/products/oceane-wooden-tall-candle-stand-set-of-two,"₹4,800",73% off,"Sun, 2nd Mar",Religious & Spiritual Items,5,2 Reviews
Little Budha Smoke Fountain - Blue,Polyresin,₹280,https://vaaree.com/products/little-budha-smoke-fountain-blue,"₹2,999",91% off,"Mon, 3rd Mar",Religious & Spiritual Items,1,3 Reviews
Tribal Bonfire Tealight Candle Holder,Metal,"₹1,199",https://vaaree.com/products/tribal-bonfire-tealight-candle-holder,"₹2,321",49% off,Delivery Tomorrow,Religious & Spiritual Items,5,1 Reviews
Shubhlabh Pooja Thali Set,German Silver,"₹2,625",https://vaaree.com/products/shubhlabh-pooja-thali-set,"₹3,938",34% off,Delivery Tomorrow,Religious & Spiritual Items,3,2 Reviews
Its A Crystal Affair Tealight Candle Holder (Gold) - Set Of Two,Iron,₹861,https://vaaree.com/products/its-a-crystal-affair-tealight-candle-holder-gold-set-of-two,"₹1,292",34% off,"Sun, 2nd Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Butterfly Shadow Tealight Candle Holder - Set Of Four,Metal,₹399,https://vaaree.com/products/butterfly-shadow-tealight-candle-holder,₹699,43% off,Delivery Tomorrow,Religious & Spiritual Items,4,1 Reviews
Divine Natraj Idol,Aluminum,₹399,https://vaaree.com/products/divine-natraj-idol,₹799,51% off,Delivery Tomorrow,Religious & Spiritual Items,3,1 Reviews
Holy Chakra Latkan,Metal,₹395,https://vaaree.com/products/holy-chakra-latkan,₹899,57% off,Delivery Tomorrow,Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Sugandha White Sage Smudge Incense Sticks - Pack Of Two,Iron,₹180,https://vaaree.com/products/sugandha-white-sage-smudge-incense-sticks-pack-of-two,₹199,10% off,"Sun, 2nd Mar",Religious & Spiritual Items,5,1 Reviews
Sino Ethnic Tealight Candle Holder,Iron,₹499,https://vaaree.com/products/sino-ethnic-tealight-candle-holder,₹749,34% off,Delivery Tomorrow,Religious & Spiritual Items,4.5,4 Reviews
Zen Breeze Scented Incense Sticks - Pack Of Four,Aluminum,₹275,https://vaaree.com/products/zen-breeze-scented-incense-sticks-pack-of-four,₹400,32% off,"Sun, 2nd Mar",Religious & Spiritual Items,4,1 Reviews
Tripti Decorative Urli,Glass,₹784,https://vaaree.com/products/tripti-decorative-urli,"₹1,176",34% off,Delivery Tomorrow,Religious & Spiritual Items,4.5,4 Reviews
Mayoor Bless Diya,Brass,₹315,https://vaaree.com/products/mayoor-bless-diya,₹799,61% off,Delivery Tomorrow,Religious & Spiritual Items,5,1 Reviews
Multicolor Tealight Candle Holders - Set Of Ten,Polyresin,₹599,https://vaaree.com/products/multicolor-tealight-candle-holders-set-of-ten,₹719,17% off,"Mon, 3rd Mar",Religious & Spiritual Items,1,1 Reviews
Brass Panchmukhi Hanuman Idol,Iron,₹960,https://vaaree.com/products/brass-panchmukhi-hanuman-idol,"₹1,299",27% off,"Sun, 2nd Mar",Religious & Spiritual Items,5,1 Reviews
Lord Ganesha Smoke Fountain,Marble,₹340,https://vaaree.com/products/lord-ganesha-smoke-fountain,"₹2,999",89% off,"Sun, 2nd Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Its A Crystal Affair Tall Tealight Candle Holder - Set Of Two,Polyresin,₹924,https://vaaree.com/products/its-a-crystal-affair-tall-tealight-candle-holder-set-of-two,"₹1,386",34% off,Delivery Tomorrow,Religious & Spiritual Items,1,1 Reviews
Saraswati Devi Idol,Brass,"₹2,799",https://vaaree.com/products/saraswati-devi-idol,"₹4,199",34% off,"Sat, 1st Mar",Religious & Spiritual Items,4,4 Reviews
Shiva Sagar Idol,Metal,₹920,https://vaaree.com/products/shiva-sagar-idol,"₹2,999",70% off,"Sun, 2nd Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Om Swastik Brass Diya,Ceramic,₹340,https://vaaree.com/products/om-swastik-brass-diya,₹499,32% off,"Sun, 2nd Mar",Religious & Spiritual Items,2,1 Reviews
Lantern Lore Tealight Candle Holder - White,Metal,₹260,https://vaaree.com/products/lantern-lore-tealight-candle-holder-white,₹999,74% off,"Sun, 2nd Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Ethnic Mix Festive Bell - Set Of Two,,₹799,https://vaaree.com/products/ethnic-mix-festive-bell-set-of-two,₹999,20% off,"Sat, 1st Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Shri Ganesha And Lakshmi Tealight Candle Holder - Set Of Two,,₹260,https://vaaree.com/products/shri-ganesha-and-lakshmi-tealight-candle-holder-set-of-two,₹899,72% off,"Sun, 2nd Mar",Religious & Spiritual Items,3,3 Reviews
Sugandha Herbs & Flowers Smudge Incense Sticks - Pack Of Four,,₹340,https://vaaree.com/products/sugandha-herbs-flowers-smudge-incense-sticks-pack-of-four,₹450,25% off,"Mon, 3rd Mar",Religious & Spiritual Items,Inclusive of all taxes,40 Incense Sticks (4 Packs)
