Product Title,Type,Current Price,Image URL,Original Price,Discount,Estimated Delivery
Brigid Mug - Set Of Six,Glass,₹661,https://vaaree.com/products/brigid-mug-set-of-twelve,₹935,30% off,Delivery Tomorrow
Tropica Leaf Platter - Set Of Two,Wood,₹750,https://vaaree.com/products/tropica-leaf-platter-set-of-two,"₹2,000",63% off,Delivery Tomorrow
Bird Chatter Round Serving Tray (Beige) - Set Of Two,Wood,₹699,https://vaaree.com/products/bird-chatter-round-serving-tray-beige-set-of-two,₹999,30% off,Delivery Tomorrow
Elisabetho Glass Mug (230 ML) - Set Of Six,Glass,₹699,https://vaaree.com/products/elisabetho-glass-mug-230-ml-set-of-six,₹860,19% off,Delivery Tomorrow
Aksa Embossed Serving Tray - Set Of Two,Wood,₹749,https://vaaree.com/products/aksa-embossed-serving-tray-set-of-two,₹999,25% off,Delivery Tomorrow
Suga' Ice Cream Cup - Set of Six,Glass,₹674,https://vaaree.com/products/suga-ice-cream-cup-set-of-six,₹972,31% off,Delivery Tomorrow
Shema Flora Platter,Wood,₹999,https://vaaree.com/products/shema-flora-platter,"₹1,499",34% off,Delivery Tomorrow
Vintage Charm Hammered Oval Serving Pot - 600 ML,Stainless Steel,"₹1,692",https://vaaree.com/products/vintage-charm-hammered-oval-serving-pot-600-ml,"₹2,005",16% off,Delivery Tomorrow
Crux Glass Mugs (210 ml) - Set of Six,Glass,₹585,https://vaaree.com/products/crux-glass-mugs-210-ml-set-of-six,₹970,40% off,Delivery Tomorrow
Mozaa Glass Cup - Set of Four,Glass,₹842,https://vaaree.com/products/mozaa-glass-cup-set-of-four,₹982,15% off,Delivery Tomorrow
Momba Serving Pot,Porcelain,₹987,https://vaaree.com/products/momba-serving-pot,"₹1,500",35% off,Delivery Tomorrow
Bluda Floral Square Serving Tray - Set Of Two,Wood,₹699,https://vaaree.com/products/bluda-floral-square-serving-tray-set-of-two,₹999,30% off,Delivery Tomorrow
Holiday Stir Cutlery - 4 Pieces Set,Stainless Steel,₹699,https://vaaree.com/products/holiday-stir-spoon-set-of-4,"₹1,099",37% off,"Tue, 25th Feb"
Ebna Floral Serving Tray - Set Of Three,MDF,₹999,https://vaaree.com/products/ebna-floral-serving-tray-set-of-three,"₹1,399",29% off,Delivery Tomorrow
Coco Serving Tray - Set Of 3,Wood,"₹1,169",https://vaaree.com/products/coco-serving-tray-set-of-3,"₹3,798",70% off,"Tue, 25th Feb"
Mahina Sofa Armrest Tray,MDF,₹999,https://vaaree.com/products/mahina-sofa-armrest-tray,"₹1,500",34% off,"Tue, 25th Feb"
Glassey Cup (160 ML) - Set Of Six,Glass,₹554,https://vaaree.com/products/glassey-kulhad-set-of-six,₹890,38% off,Delivery Tomorrow
Puritax Glass Cup - Set Of Three,Glass,₹689,https://vaaree.com/products/puritax-glass-cup-set-of-three,"₹1,045",35% off,Delivery Tomorrow
Vintage Charm Hammered Tapered Serving Pot - 950 ML,Stainless Steel,"₹1,259",https://vaaree.com/products/vintage-charm-hammered-tapered-serving-pot-950-ml,"₹1,570",20% off,Delivery Tomorrow
Crux Glass Mugs (180 ml)- Set of Six,Glass,₹545,https://vaaree.com/products/crux-glass-mugs-180-ml-set-of-six,"₹1,065",49% off,Delivery Tomorrow
Mughal Gaja Regal Serving Tray - Set Of Two,MDF,₹689,https://vaaree.com/products/mughal-gaja-regal-serving-tray-set-of-two,₹999,31% off,Delivery Tomorrow
Retro Blooms Serving Tray,MDF,₹359,https://vaaree.com/products/retro-blooms-serving-tray,₹999,65% off,"Tue, 25th Feb"
Monolith Moss Green Ceramic Mug (150 ML) - Set Of Four,Ceramic,₹499,https://vaaree.com/products/monolith-moss-green-ceramic-mug-150-ml-set-of-four,₹799,38% off,"Tue, 25th Feb"
Bhojanam Indian Thali (11.8 Inches) - Set Of Two,Stainless Steel,₹958,https://vaaree.com/products/bhojanam-indian-thali-11-8-inches-set-of-two,"₹1,120",15% off,Delivery Tomorrow
