Product Title,Type,Current Price,Image URL,Original Price,Discount,Estimated Delivery
Aura Glass Jar With Wooden Lid (1580 ML) - Set Of Two,Glass,"₹1,094",https://vaaree.com/products/aura-storage-jar-with-wooden-lid-1580-ml-set-of-two,"₹1,860",42% off,"Tue, 25th Feb"
Stripe Stride Tissue Box - Gold,Wood,₹513,https://vaaree.com/products/stripe-stride-tissue-box-gold,"₹2,000",75% off,Delivery Tomorrow
Filtereo Mason Jar (540 ML) - Set Of Two,Glass,₹499,https://vaaree.com/products/filtereo-mason-jar-540-ml-set-of-two,₹725,32% off,Delivery Tomorrow
Perika Glass Serving Pot (Square),Glass,"₹1,291",https://vaaree.com/products/perika-glass-serving-pot-square,"₹1,516",15% off,Delivery Tomorrow
Vault Microwave Safe Lunch Box (Green) - 630 ML,Stainless Steel,₹396,https://vaaree.com/products/happy-heat-insulated-lunch-box-green-630-ml,₹440,10% off,"Tue, 25th Feb"
Prito Jar with Wooden Lid (270 ML Each)- Set of 6,Glass,"₹1,035",https://vaaree.com/products/prito-jar-with-wooden-lid-set-of-six,"₹2,064",50% off,Delivery Tomorrow
Umava Masala Spoon - Set Of Six,Stainless Steel,₹284,https://vaaree.com/products/umava-masala-spoon-set-of-six,₹370,24% off,Delivery Tomorrow
Povo Masala Spoon - Set Of Six,Stainless Steel,₹219,https://vaaree.com/products/povo-masala-spoon-set-of-six,₹270,19% off,Delivery Tomorrow
Krithik Storage Jar With Tray (185 ml) - Set Of Five,Ceramic,"₹2,089",https://vaaree.com/products/krithik-storage-jar-with-tray-185-ml-set-of-five,"₹2,919",29% off,Delivery Tomorrow
Chinta Spice And Cutlery Holder,Wood,"₹1,459",https://vaaree.com/products/chinta-spice-and-cutlery-holder,"₹2,039",29% off,Delivery Tomorrow
Warli Wale Cutlery Holder,Wood,"₹1,099",https://vaaree.com/products/warli-wale-cutlery-holder,"₹1,539",29% off,"Mon, 24th Feb"
Longuet Cutlery Holder,MDF,₹499,https://vaaree.com/products/longuet-cutlery-holder,"₹1,035",52% off,Delivery Tomorrow
Inaayat Tissue Holder,MDF,₹649,https://vaaree.com/products/inaayat-tissue-holder,"₹1,185",46% off,Delivery Tomorrow
Adara Jute Coaster - Set Of Four,Jute,₹399,https://vaaree.com/products/adara-jute-coaster-set-of-four,₹470,16% off,"Tue, 25th Feb"
Marina Resin Coaster (Blue) - Set Of Six,Resin,₹849,https://vaaree.com/products/marina-resin-coaster-blue-set-of-six,"₹1,599",47% off,"Tue, 25th Feb"
Trina Grinder Jar,Glass,₹157,https://vaaree.com/products/trina-grinder-jar,₹209,25% off,Delivery Tomorrow
Righto Storage Container - Set of 2,Plastic,₹399,https://vaaree.com/products/righto-storage-container,"₹2,999",87% off,"Wed, 26th Feb"
Wipe Mate Foldable Napkin Holder - Black,Carbon Steel,₹999,https://vaaree.com/products/wipe-mate-foldable-napkin-holder-black,"₹1,999",50% off,Delivery Tomorrow
Treasure It Glass Storage Bowl With Lid - 260 ML,Glass,₹534,https://vaaree.com/products/treasure-it-glass-storage-bowl-with-lid-260-ml,₹921,42% off,Delivery Tomorrow
Arka Wood Masher,Wood,₹249,https://vaaree.com/products/arka-wood-masher,₹374,34% off,"Tue, 25th Feb"
Essentio Airtight Storage Jar - Set Of Six,Plastic,From ₹850,https://vaaree.com/products/essentio-airtight-storage-jar-set-of-six,"₹1,599",47% off,"Wed, 26th Feb"
Wipe Mate Foldable Napkin Holder - White,Carbon Steel,₹999,https://vaaree.com/products/wipe-mate-foldable-napkin-holder-white,"₹1,999",50% off,Delivery Tomorrow
Julienne Peeler,Steel,₹345,https://vaaree.com/products/julienne-peeler,"₹5,250",65% off,"Sat, 1st Mar"
Neva Napkin Holder - Gold,Aluminum,"₹1,860",https://vaaree.com/products/neva-napkin-holder-gold,,,Delivery Tomorrow
